No,Bulan,Jumlah Kebakaran,PBK (BP),PBK (PSR),PBK (BI),PBK (SC),PBK (BU),PBK (LN),PK (KP),PK (LP),PK (LS),PK (RK),PK (LN),JT (BP),JT (KIOS),JT (BI),JT (SC),JT (BU),JT (LN),Korban (MT),Korban (LK),Mobil Bertugas,Penggunaan Air PDAM (m3),Penggunaan Air Lain (m3),Areal Kebakaran (m2),Bangunan Terselamatkan,Taksiran Kerugian (Rp),,,
1,Januari,10,4,-,-,-,5,1,-,-,4,-,6,3,-,-,-,5,1,-,3,56,136,-,432,6,1490000000,,,
2,Februari,10,6,-,-,-,4,-,-,-,6,-,4,6,-,-,-,10,-,-,-,57,232,-,1290,10,2330000000,,,
3,Maret,6,3,-,-,-,2,1,-,1,3,-,2,3,-,-,-,2,1,-,-,24,140,-,632,8,890000000,,,
4,April,9,4,-,-,-,4,1,2,-,3,-,4,5,-,-,-,4,1,-,-,53,172,-,788,8,6342000000,,,
5,Mei ,8,2,-,-,-,5,1,1,-,3,-,4,2,-,-,-,5,1,-,-,20,170,-,164,10,330000000,,,
6,Juni,4,1,-,-,-,3,-,-,-,1,-,3,1,-,-,-,-,5,1,-,13,24,-,189,6,162000000,,,
7,Juli,14,7,-,-,-,4,3,1,-,3,-,10,7,-,-,-,4,3,-,4,55,192,-,1267,18,2813000000,,,
8,Agustus,14,10,-,-,-,2,2,1,-,6,1,6,14,-,-,-,2,2,-,-,84,556,-,65,20,1150000000,,,
9,September,7,5,-,-,-,2,-,1,-,4,-,2,11,-,-,-,2,-,-,1,42,128,-,1413,16,1706000000,,,
10,Oktober,7,5,-,-,-,2,-,1,-,1,-,5,10,-,-,-,-,-,1,1,42,128,-,1500,18,1430000000,,,
11,November,10,6,-,-,-,3,2,1,-,5,-,4,10,-,-,-,-,1,-,-,37,88,-,733,12,1143500000,,,
12,Desember,8,4,-,-,-,4,-,2,-,4,-,2,5,4,-,-,2,-,-,1,53,156,-,1481,8,2952000000,,,
