No,Bulan,Jumlah Kebakaran,PBK (BP),PBK (PSR),PBK (BI),PBK (SC),PBK (BU),PBK (LN),PK (KP),PK (LP),PK (LS),PK (RK),PK (LN),JT (BP),JT (KIOS),JT (BI),JT (SC),JT (BU),JT (LN),Korban (MT),Korban (LK),Mobil Bertugas,Penggunaan Air PDAM (m3),Penggunaan Air Lain (m3),Areal Kebakaran (m2),Bangunan Terselamatkan,Taksiran Kerugian (Rp),,
1,Januari,7,2,-,1,-,1,3,-,-,6,-,1,2,-,1,-,-,4,-,-,25,148,-,403,5,235500000,,
2,Februari,12,6,-,1,-,1,4,-,-,10,-,2,6,-,1,-,-,23,-,-,53,340,-,1154,48,1015000000,,
3,Maret,11,6,-,-,-,4,1,-,1,7,-,3,8,-,-,-,-,1,-,-,50,788,-,1923,24,1070000000,,
4,April,8,5,-,-,-,2,1,-,-,4,-,4,7,-,-,-,-,1,-,-,47,760,-,4222,20,1296000000,,
5,Mei ,13,10,-,2,-,-,2,-,-,5,-,6,8,4,3,-,-,2,-,-,72,1276,-,1571,19,1827000000,,
6,Juni,5,2,-,-,-,1,2,-,-,3,-,2,2,-,-,-,-,2,-,-,25,124,-,471,6,175500000,,
7,Juli,13,6,-,2,-,1,4,3,-,3,-,7,5,-,2,-,-,7,-,-,57,428,-,1712,21,567000000,,
8,Agustus,17,12,1,-,-,1,4,2,-,6,-,9,12,260,-,-,-,4,-,-,75,688,528,3002,23,1982500000,,
9,September,23,11,-,-,-,2,10,1,2,3,1,11,21,-,-,-,-,10,-,-,111,440,68,14971,28,2112000000,,
10,Oktober,14,10,-,-,-,-,4,2,-,6,-,5,10,-,-,-,-,4,-,-,61,156,-,2101,21,760000000,,
11,November,8,6,-,1,-,-,1,2,-,3,-,3,-,-,-,-,-,-,-,-,48,724,-,4081,16,2169000000,,
12,Desember,6,1,-,1,-,3,2,-,-,6,-,-,1,-,1,-,-,-,-,-,49,312,-,924,6,830500000,,
