No,Bulan,Jumlah Kebakaran,PBK (BP),PBK (PSR),PBK (BI),PBK (SC),PBK (BU),PBK (LN),PK (KP),PK (LP),PK (LS),PK (RK),PK (LN),JT (BP),JT (KIOS),JT (BI),JT (SC),JT (BU),JT (LN),Korban (MT),Korban (LK),Mobil Bertugas,Penggunaan Air PDAM (m3),Penggunaan Air Lain (m3),Areal Kebakaran (m2),Bangunan Terselamatkan,Taksiran Kerugian (Rp),,
1,Januari,14,8,-,-,-,1,5,-,-,11,-,3,8,-,-,-,-,6,-,-,41,192,-,10455,24,863000000,,
2,Februari,7,4,-,-,-,-,3,1,-,6,-,-,14,-,-,-,-,3,-,-,29,200,-,568,22,1300000000,,
3,Maret,15,5,-,1,1,4,4,2,1,9,1,2,8,-,1,1,-,6,1,1,43,156,-,1083,21,1945000000,,
4,April,12,6,-,-,-,1,5,2,-,7,-,3,7,-,-,-,-,5,-,1,36,120,-,965,20,1450500000,,
5,Mei ,7,3,-,-,-,2,2,1,-,6,-,-,4,-,-,-,-,2,-,-,26,100,-,723,10,2215000000,,
6,Juni,13,5,-,-,-,4,4,2,2,4,1,4,5,-,-,-,-,4,-,-,39,196,-,1627,24,1022000000,,
7,Juli,12,4,-,2,-,3,3,1,-,9,-,2,7,-,2,-,-,7,1,-,35,158,20,1393,22,1521500000,,
8,Agustus,22,10,-,1,-,8,3,1,-,11,-,10,15,-,1,-,-,3,-,-,69,497,-,3221,35,8998000000,,
9,September,17,7,-,1,-,5,4,1,-,11,1,4,9,-,1,-,-,4,-,-,52,228,-,7300,23,1392000000,,
10,Oktober,27,15,-,-,-,6,6,-,2,12,2,11,51,-,-,-,-,8,-,6,131,1148,40,9034,92,13764500000,,
11,November,5,4,-,-,-,-,1,-,-,3,-,2,8,-,-,-,-,3,1,-,16,56,-,460,16,475000000,,
12,Desember,9,3,-,-,-,2,4,1,-,6,-,2,5,-,-,-,-,7,-,2,38,180,8,1215,18,1575000000,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
