No,Bulan,Jumlah Kebakaran,PBK (BP),PBK (PSR),PBK (BI),PBK (SC),PBK (BU),PBK (LN),PK (KP),PK (LP),PK (LS),PK (RK),PK (LN),JT (BP),JT (KIOS),JT (BI),JT (SC),JT (BU),JT (LN),Korban (MT),Korban (LK),Mobil Bertugas,Penggunaan Air PDAM (m3),Penggunaan Air Lain (m3),Areal Kebakaran (m2),Bangunan Terselamatkan,Taksiran Kerugian (Rp),,
1,Januari,7,3,1,-,-,2,1,1,-,3,-,3,3,4,-,-,2,1,,-,36,124,-,748,9,404000000,,
2,Februari,8,4,-,-,-,4,-,1,-,4,-,3,19,-,-,-,4,,-,-,52,876,-,687,20,1195000000,,
3,Maret,11,4,-,-,-,2,5,-,-,8,-,3,4,-,-,-,2,5,1,4,63,1448,32,1834,8,5310000000,,
4,April,10,7,-,-,-,2,1,2,-,7,1,-,7,-,-,-,2,1,,-,49,72,68,1324,8,2029000000,,
5,Mei ,11,7,-,2,-,2,-,2,-,6,-,3,8,1,2,-,5,-,-,-,65,306,138,3152,13,3463000000,,
6,Juni,8,4,-,-,1,1,2,3,-,1,-,4,8,-,-,1,1,2,,-,46,104,3000,3322,4,150305500000,,
7,Juli,7,3,-,1,-,1,2,-,-,4,-,3,5,-,1,-,1,2,,-,41,104,88,1612,11,2800000000,,
8,Agustus,15,8,-,1,-,4,2,1,-,8,-,6,13,-,1,-,4,2,1,,60,92,-,698,22,599000000,,
9,September,34,15,1,2,-,7,9,2,-,6,1,25,34,24,2,-,6,10,,-,187,680,220,7966,27,5654000000,,
10,Oktober,26,8,-,1,-,8,9,2,1,9,-,14,29,-,1,-,8,9,,-,139,604,-,16185,18,8427500000,,
11,November,15,3,-,-,-,6,6,2,-,6,-,7,3,3,-,-,6,8,,-,71,156,-,2181,10,1701500000,,
12,Desember,10,5,-,-,-,1,4,1,-,3,-,6,5,1,-,-,1,3,,-,33,72,-,367,9,493000000,,
