No,Bulan,Jumlah Kebakaran,PBK (BP),PBK (PSR),PBK (BI),PBK (SC),PBK (BU),PBK (LN),PK (KP),PK (LP),PK (LS),PK (RK),PK (LN),JT (BP),JT (KIOS),JT (BI),JT (SC),JT (BU),JT (LN),Korban (MT),Korban (LK),Mobil Bertugas,Penggunaan Air PDAM (m3),Penggunaan Air Lain (m3),Areal Kebakaran (m2),Bangunan Terselamatkan,Taksiran Kerugian (Rp),,,
1,Januari,12,8,-,-,2,-,2,1,1,4,-,6,9,-,-,2,-,2,-,4,43,72,-,369,20,532000000,,,
2,Februari,6,2,-,-,-,2,2,-,-,1,-,5,2,12,-,-,-,2,-,-,29,76,40,1115,6,1284000000,,,
3,Maret,6,4,-,-,-,2,-,1,-,2,-,3,4,-,-,-,-,2,-,-,26,124,-,486,8,780000000,,,
4,April,9,4,-,-,-,3,2,-,-,7,-,2,9,-,-,-,-,2,-,-,32,64,-,804,14,965000000,,,
5,Mei ,7,3,1,-,-,2,1,-,-,2,-,5,3,40,-,-,-,1,-,-,30,92,56,390,6,553000000,,,
6,Juni,20,10,-,-,-,3,6,-,-,8,-,12,11,-,-,-,-,6,1,-,92,272,56,3233,16,2276000000,,,
7,Juli,24,9,1,-,-,6,8,1,-,4,1,18,9,100,-,-,-,8,-,-,98,237,237,3232,10,2333000000,,,
8,Agustus,23,8,1,-,-,4,10,-,-,5,1,17,13,12,-,-,-,10,-,-,91,304,16,60340,18,2145000000,,,
9,September,25,9,-,-,-,5,11,-,-,4,1,20,10,-,-,-,-,20,-,-,108,400,-,12975,20,6705000000,,,
10,Oktober,28,8,-,-,-,9,11,1,-,3,-,24,9,-,-,-,-,24,-,-,144,640,-,16250,14,2557000000,,,
11,November,6,1,-,-,-,4,1,-,1,1,-,4,1,-,-,-,-,5,-,-,19,40,-,232,4,310000000,,,
12,Desember,11,5,-,-,-,4,2,1,-,2,-,8,6,-,-,-,-,2,-,-,48,148,-,1151,12,1120000000,,,
