No,Bulan,Jumlah Kebakaran,PBK (BP),PBK (PSR),PBK (BI),PBK (SC),PBK (BU),PBK (LN),PK (KP),PK (LP),PK (LS),PK (RK),PK (LN),JT (BP),JT (KIOS),JT (BI),JT (SC),JT (BU),JT (LN),Korban (MT),Korban (LK),Mobil Bertugas,Penggunaan Air PDAM (m3),Penggunaan Air Lain (m3),Areal Kebakaran (m2),Bangunan Terselamatkan,Taksiran Kerugian (Rp)
1,Januari,19.00,8.00,-,1.00,-,1.00,9.00,2.00,-,12.00,-,5.00,8.00,5.00,1.00,-,1.00,9.00,-,-,48.00,44.00,-,221.00,25.00,445000000.00
2,Februari,19.00,8.00,-,-,-,4.00,7.00,4.00,-,6.00,-,9.00,8.00,4.00,-,-,3.00,7.00,-,10.00,93.00,224.00,-,1099.00,28.00,1588000000.00
3,Maret,9.00,1.00,-,-,-,3.00,5.00,1.00,-,5.00,-,3.00,1.00,7.00,-,-,-,5.00,-,-,30.00,392.00,-,378.00,8.00,385000000.00
4,April,12.00,6.00,-,-,-,5.00,1.00,2.00,-,4.00,1.00,5.00,6.00,4.00,-,-,3.00,-,-,-,68.00,192.00,-,1069.00,30.00,1336000000.00
5,Mei ,19.00,8.00,-,1.00,-,2.00,8.00,4.00,-,7.00,-,8.00,34.00,-,1.00,-,-,8.00,1.00,1.00,61.00,148.00,-,727.00,88.00,766800000.00
6,Juni,24.00,9.00,-,-,-,4.00,11.00,,-,8.00,1.00,12.00,11.00,5.00,-,-,3.00,11.00,1.00,2.00,112.00,268.00,-,9187.00,89.00,7240000000.00
7,Juli,42.00,12.00,1.00,1.00,-,7.00,21.00,2.00,-,4.00,4.00,32.00,31.00,800.00,1.00,-,8.00,25.00,-,5.00,196.00,508.00,-,2649.00,95.00,15813200000.00
8,Agustus,20.00,7.00,-,1.00,-,-,12.00,1.00,1.00,4.00,1.00,13.00,8.00,-,1.00,-,-,13.00,-,-,95.00,240.00,-,21329.00,28.00,1506100000.00
9,September,34.00,8.00,1.00,2.00,-,5.00,18.00,2.00,-,6.00,3.00,23.00,21.00,300.00,2.00,-,6.00,23.00,1.00,1.00,172.00,460.00,-,30826.00,62.00,5657000000.00
10,Oktober,36.00,9.00,1.00,-,-,5.00,21.00,3.00,-,7.00,2.00,24.00,9.00,395.00,-,-,5.00,21.00,-,2.00,134.00,364.00,-,3477.00,21.00,4941000000.00
11,November,9.00,4.00,-,-,-,1.00,4.00,1.00,-,2.00,-,6.00,33.00,-,-,-,41.00,11.00,-,1.00,53.00,128.00,-,913.00,9.00,-
12,Desember,15.00,5.00,-,-,-,4.00,6.00,1.00,-,6.00,-,8.00,5.00,-,-,-,6.00,8.00,-,2.00,71.00,168.00,-,1123.00,21.00,1782000000.00
