No,Bulan,Jumlah Kebakaran,PBK (BP),PBK (PSR),PBK (BI),PBK (SC),PBK (BU),PBK (LN),PK (KP),PK (LP),PK (LS),PK (RK),PK (LN),JT (BP),JT (KIOS),JT (BI),JT (SC),JT (BU),JT (LN),Korban (MT),Korban (LK),Mobil Bertugas,Penggunaan Air PDAM (m3),Penggunaan Air Lain (m3),Areal Kebakaran (m2),Bangunan Terselamatkan,Taksiran Kerugian (Rp),,,
1,Januari,9,6,-,-,-,2,1,2,1,5,1,-,10,-,-,-,-,1,-,-,49,144,-,1766,13,852000000,,,
2,Februari,10,6,-,1,-,2,2,-,-,5,-,5,8,-,1,-,-,1,-,-,39,96,-,536,15,651000000,,,
3,Maret,14,6,-,3,-,3,1,1,1,12,1,4,2,-,1,-,-,1,-,-,83,468,-,929,2,2593000000,,,
4,April,10,6,-,2,-,2,-,3,-,4,-,3,8,-,2,-,-,3,1,-,53,138,-,766,18,1373050000,,,
5,Mei ,9,5,-,-,-,2,2,1,1,6,-,1,5,-,-,-,-,2,-,-,51,148,-,390,18,569000000,,,
6,Juni,5,5,-,-,-,-,-,-,-,4,-,1,16,-,-,-,-,-,-,-,20,56,-,724,4,619000000,,,
7,Juli,9,5,-,-,-,1,3,-,-,4,-,5,7,-,-,-,-,3,-,-,28,52,-,392,13,400000000,,,
8,Agustus,21,9,-,1,-,7,4,3,-,7,-,11,24,-,1,-,-,5,-,-,102,416,-,2048,48,1306300000,,,
9,September,18,11,1,-,-,2,4,2,-,8,-,8,25,96,-,-,-,5,-,2,80,440,-,3420,48,3016300000,,,
10,Oktober,7,12,-,-,-,1,-,2,1,2,-,2,1,-,-,-,-,-,-,2,36,116,-,602,12,376000000,,,
11,November,4,4,-,-,-,-,-,,-,4,-,-,4,-,-,-,-,-,-,-,12,28,-,92,8,84000000,,,
12,Desember,8,6,-,-,-,1,1,4,-,2,-,2,6,1,-,-,-,1,-,1,26,120,-,399,14,590600000,,,
