No,Bulan,Jumlah Kebakaran,PBK (BP),PBK (PSR),PBK (BI),PBK (SC),PBK (BU),PBK (LN),PK (KP),PK (LP),PK (LS),PK (RK),PK (LN),JT (BP),JT (KIOS),JT (BI),JT (SC),JT (BU),JT (LN),Korban (MT),Korban (LK),Mobil Bertugas,Penggunaan Air PDAM (m3),Penggunaan Air Lain (m3),Areal Kebakaran (m2),Bangunan Terselamatkan,Taksiran Kerugian (Rp),,
1,Januari,20,15,1,3,-,1,-,3,-,14,-,3,24,1,-,-,-,-,-,-,72,444,-,2408,30,3022000000,,
2,Februari,8,4,-,1,-,2,1,-,-,4,-,4,4,-,-,-,-,-,-,-,34,120,-,911,12,850000000,,
3,Maret,5,4,-,-,-,-,1,-,-,4,-,1,7,-,-,-,-,-,-,-,18,56,-,533,30,406000000,,
4,April,13,8,-,1,-,2,2,2,1,6,-,4,10,-,-,5,-,5,-,5,61,270,-,2879,28,2688000000,,
5,Mei ,10,3,-,-,-,2,5,-,-,5,-,5,3,-,-,1,-,1,-,1,33,76,-,2429,12,424950000,,
6,Juni,9,1,-,1,-,5,2,1,1,3,-,4,1,-,-,-,-,-,-,-,39,200,-,833,12,611500000,,
7,Juli,14,5,-,-,-,3,6,2,-,6,1,5,13,-,-,-,-,-,-,-,50,204,-,6013,20,773250000,,
8,Agustus,10,6,-,-,-,1,3,4,-,2,-,4,12,-,-,1,-,1,-,1,47,140,-,1296,30,1045000000,,
9,September,20,10,-,1,-,-,9,3,-,7,2,8,12,-,-,-,-,-,-,-,63,144,-,1678,33,413000000,,
10,Oktober,18,12,1,-,-,5,3,4,-,6,1,7,16,4,1,-,1,-,1,-,73,212,-,2500,34,1216000000,,
11,November,8,5,-,-,-,2,1,3,-,2,-,3,7,-,-,1,-,1,-,1,36,120,-,388,17,481000000,,
12,Desember,6,5,-,-,-,1,-,1,-,2,-,3,10,-,-,-,-,-,-,-,25,92,-,1393,20,305000000,,
