No,Bulan,Jumlah Kebakaran,PBK (BP),PBK (PSR),PBK (BI),PBK (SC),PBK (BU),PBK (LN),PK (KP),PK (LP),PK (LS),PK (RK),PK (LN),JT (BP),JT (KIOS),JT (BI),JT (SC),JT (BU),JT (LN),Korban (MT),Korban (LK),Mobil Bertugas,Penggunaan Air PDAM (m3),Penggunaan Air Lain (m3),Areal Kebakaran (m2),Bangunan Terselamatkan,Taksiran Kerugian (Rp)
1,Januari,6,4,2,-,-,-,-,-,-,6,-,-,7,740,-,-,-,-,-,-,42,522,-,330,-,980000000
2,Februari,9,4,-,2,-,2,1,-,-,8,-,1,6,-,2,-,-,-,-,-,61,196,-,515,-,325000000
3,Maret,5,2,-,1,-,1,1,1,-,3,1,-,2,-,1,-,-,1,-,2,31,98,-,636,-,185000000
4,April,10,8,-,1,-,1,-,2,1,6,-,1,8,-,1,-,-,-,-,-,54,154,-,706,-,281000000
5,Mei ,4,4,-,-,-,-,-,-,-,4,-,-,4,-,1,-,-,1,-,-,22,64,-,284,-,285000000
6,Juni,4,3,-,-,-,1,-,-,-,3,-,1,101,-,-,-,-,1,-,-,34,168,-,1726,-,815000000
7,Juli,13,5,-,3,3,-,2,-,-,11,-,2,5,-,3,3,-,2,-,-,66,244,-,1771,-,1309000000
8,Agustus,11,7,-,-,-,2,2,-,-,6,-,5,54,-,-,-,-,2,-,-,79,256,-,4896,-,2375000000
9,September,9,5,-,1,-,2,1,-,-,7,-,2,5,-,1,-,-,1,-,-,38,124,-,893,-,387000000
10,Oktober,5,3,-,-,-,-,2,-,-,2,-,3,3,-,-,-,-,2,-,-,27,16,-,537,-,1055500000
11,November,14,11,-,-,-,2,1,2,1,4,-,7,13,-,-,-,-,1,-,2,73,136,-,1068,-,700000000
12,Desember,11,6,1,2,-,1,1,1,-,4,4,2,6,644,2,-,-,2,-,-,67,254,-,11109,-,52585000000
